geo,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,10.3,0,13.6,18.6,0,22.8,0,21.8,21.2,0,0,0,22.5,0,
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,75.1,0,0,60.1,0,0,0,69.3,0,0,0,0,0,0,0,
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8,0,0,0,0,50.9,0,0,56.9,0,0,0,0,64,0,57,0,0,0,61.4,0,0,0,0,0,55.9,57.1,0,0,0,
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,0,0,0,0,6.2,0,0,0,0,0,0,0,17.7,0,0,0,0,0,0,13.7,
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.2,48.2,0,0,0,0,0,52.6,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.3,0,0,0,78.9,0,0,0,0,0,0,55.4,81.3,0,0,0,
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,60.5,0,0,0,0,53.1,0,0,0,0,54.9,0,0,0,0,0,57.1,
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.1,0,0,0,0,0,0,0,0,66.7,0,0,0,0,0,0,70.8,0,0,72.3,65.2,0,0,62,0,0,67.8,0,0,0,66.9,
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,50.9,0,0,0,0,0,0,0,0,0,0,0,0,69.6,0,0,0,65.7,0,0,0,
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.1,55.4,0,0,0,0,51.1,0,0,0,0,54.9,0,0,0,0,0,
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.7,0,0,0,0,0,0,0,0,0,0,0,0,44.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.8,0,0,0,0,0,61.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,0,0,0,12.7,18.6,0,0,19.1,0,25.3,0,0,31.4,0,39.9,0,0,44.9,0,0,49.8,0,0,54.3,0,0,0,58.5,0,0,55.8,52.6,0,0,61.2,0,61.8,62.4,0,0,
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,59.2,0,0,0,0,
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4,0,0,0,0,0,0,0,0,0,72.6,0,0,0,0,0,0,63.1,0,0,0,0,
Belgium,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,78.4,0,0,0,0,56.5,0,0,0,75.6,0,0,74.6,0,0,0,0,70.4,0,0,0,66.8,0,0,0,
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7,0,0,0,0,0,0,0,56.1,0,0,0,0,0,0,34.3,0,0,0,0,55.2,0,0,0,51.4,0,
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,0,0,0,0,18.6,0,0,0,0,16.9,0,0,0,0,0,12.9,0,17.9,0,0,
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0,0,0,0,30.7,0,0,0,0,0,0,35.4,0,0,65.6,0,0,0,0,0,0,
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,0,0,0,0,0,30.3,0,0,0,0,45.3,0,0,0,48.3,0,53.4,0,0,58.4,0,0,0,0,60.5,0,0,0,0,0,0,0,66.5,
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,0,0,0,0,0,35.7,0,0,0,0,0,45.8,0,0,0,0,
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8,0,0,0,33,0,0,0,0,0,0,0,41.7,0,0,0,44.4,0,0,0,0,0,0,0,52.8,0,0,0,0,0,0,0,0,
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.2,0,0,0,0,59.2,0,0,0,0,76.7,0,0,0,0,0,0,0,0,0,80.3,80.3,0,0,0,0,0,80.2,0,0,0,
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.9,0,0,63.4,0,0,0,0,0,0,64.4,0,69.2,0,0,0,0,0,0,0,0,0,
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,11.9,0,0,0,13.8,0,0,17.4,0,0,0,16.2,0,0,0,18.1,20.8,25.5,25.4
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0,19.7,0,0,9.1,0,0,0,22.7,21.9,0,31.7,0,0,0,0,28.5
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,21.8,0,23.8,0,0,0,0,40,0,0,0,0,50.5,0,0,0,56.3,0,0,
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,16.1,0,0,0,0,0,0,19.3,0,25.6,0,0,0,26,0,29.2,0,0,0,0,23.4,0,0,34.4,0,0,
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.1,0,0,0,0,0,0,0,0,0,0,74.7,0,0,80,0,0,0,74,0,0,0,85,0,0,0,0,0,0,0,0,0,0,
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,23.8,0,0,0,0,0,0,0,0,52.9,0,0,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0,0,
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,0,0,0,0,27.9,0,0,0,0,0,19,0,0,0,0,15.2,0,0,0,0,0,
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,7.9,0,0,0,11.1,0,0,0,0,0,4.8,0,0,0,0,5.7,0,
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,60.7,0,0,0,0,64.2,0,0,0,0,0,0,0,0,0,76.3,
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5,0,0,74,0,0,71.1,0,0,0,84.6,0,90.7,90.4,91.1,83.8,0,83,83.8,86.9,0,0,0,0,84.6,0,89.3,89,89.1,88.6,87.9,0,0,0,0,
Colombia,0,0,0,0,0,0,0,0,20.5,0,0,0,0,0,0,42.5,0,46.1,0,48.5,0,0,0,0,0,64.8,0,0,0,66.1,0,0,0,0,72.2,0,0,0,0,76.9,0,0,0,0,78.2,0,0,0,0,79.1,0,0,0,0,81,0,
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,25.7,0,0,0,0,0,0,0,0,0,0,0,19.4,0,0,0,0,
"Congo, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8,25.8,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,31.4,0,0,0,0,0,20.6,0,0,17.7,0,0,0,20.4,0,0,
"Congo, Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.3,0,0,0,0,0,0,44.7,0,0,30.1,0,
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.4,64.4,63.8,0,0,65.2,0,0,0,0,69.5,0,0,0,0,0,0,75,0,0,0,0,0,80,0,0,0,0,0,96,0,96,80,81.1,82.2,76.2,0,0,0,0,0,
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,0,15,0,0,0,0,0,0,12.9,0,0,0,0,0,18.2,0,0,0,15.5,
Croatia,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,60,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,73.3,0,0,0,0,0,72.6,77.1,0,77.8,77.8,74.3,0,0,73.7,0,0,
Czech Republic,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,68.9,0,0,0,72,0,0,0,0,0,0,0,78.2,0,0,86.3,0,0,0,0,0,0,0,0,
Denmark,0,0,0,0,0,0,0,0,0,67,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,76.5,76.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,17.8,0,22.5,0,0,0,19,0,0,0,0,
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.3,62.3,0,0,0,0,49.8,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8,0,0,0,0,42,0,0,45.8,0,0,49.8,0,0,0,0,56.4,0,0,0,0,63.7,0,0,69.2,64.7,0,69.8,0,0,0,61.3,72.9,0,0,73,0,0,71.9,69.5,0,0,
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6,33.6,0,39.9,0,0,0,0,44.3,0,52.9,0,0,0,0,56.8,0,0,0,0,65.8,0,0,0,0,72.7,0,0,0,0,0,0,0,80.1,0,0,0,0,
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,31.4,0,0,0,30.3,0,0,0,37.8,37.8,0,47.6,47.1,0,0,47.9,47.9,54.5,54.5,0,56.1,0,0,60,0,59.2,0,0,60.3,0,0,0,0,0,58.5,0,0,
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,0,0,34.4,0,0,0,0,0,0,47.3,0,0,47.1,0,0,0,0,53.3,0,0,0,0,60,0,0,0,0,66.9,0,0,0,0,72.3,0,0,0,0,0,72,0,0,
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,8,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.3,0,0,0,0,0,0,0,0,0,0,63.4,0,0,0,0,0,0,0,0,0,0,0,
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,3.3,0,0,8.1,0,0,0,0,14.7,0,0,0,0,0,28.6,0,0,42,37.9,35.9,36.5
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.9,0,0,44,0,35,0,0,0,0,43.1,0,0,31.8,0,44.3,0,0,0,0,
Finland,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,77.4,77.4,0,78.8,0,0,0,0,0,0,79.5,0,0,0,0,0,0,0,74.2,0,0,0,0,0,0,0,85.5,0,
France,0,0,0,0,0,0,0,0,0,0,64,64,0,0,0,0,71,78.7,0,0,0,0,0,0,0,0,0,81.2,0,0,0,0,0,74.5,0,0,0,0,0,81.8,0,0,0,76.6,74.8,0,0,76.4,0,0,78.4,0,0,0,0,0,
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.7,0,0,0,0,0,0,0,0,0,0,0,31.1,0,0,0,0,
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,0,9.5,17.5,0,0,0,0,0,0,0,0,13.3,0,0,9,0,0,0,
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,0,0,0,0,47.3,45.6,0,0,35.5,53.4,0,0,0,0,0,0,
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.9,0,0,0,0,0,0,70.1,0,0,0,0,0,0,0,0,0,0,0,0,66.2,0,0,50.7,0,0,68.7,0,0,0,0,0,
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,12.9,0,0,0,17.2,20.3,20.3,0,0,0,22,22,0,0,0,25.2,0,0,16.6,0,23.5,0,0,34.7,0,19.8,26.7,34.7,30.6,33
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,76.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,54.3,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1,0,0,0,0,25,0,0,0,23.2,0,0,0,0,0,0,0,31.4,0,0,0,38.2,0,0,43.3,0,0,0,0,0,0,54.1,0,0,0,0,0,60.6,0,
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.7,0,0,0,0,0,6.2,0,0,0,6.5,0,9.1,0,0,0,0,0,0,5.6,0,0,0,8.7,
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,10.3,0,0,0,14.2,0,0,0,16,0,0,
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2,0,0,0,0,0,0,0,37.3,0,0,0,0,34.6,0,34.2,0,42.5,0,0,0,0,33.9,0,0,
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9,0,0,0,0,0,6.9,0,0,0,6.7,0,10.2,0,0,0,0,0,18,0,0,0,0,28.1,0,0,0,0,0,32,0,0,0,0,0,34.5,0,0,0,0,34.3
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9,0,0,34.9,0,0,40.6,0,0,0,0,46.7,0,0,0,49.2,0,0,0,0,61.6,0,0,0,0,65.1,0,0,0,0,0,73.2,0,0,0,0,
Hungary,0,0,0,0,0,66.6,0,0,67,0,0,73,0,74,76,0,73.1,0,0,0,0,0,0,0,0,73.1,0,0,0,0,0,0,80.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.6,0,0,0,0,0,0,0,
India,0,0,0,0,0,0,0,0,0,13.6,13.6,0,0,0,0,0,0,0,0,35.3,35.3,0,0,0,0,0,0,44.9,0,0,0,0,40.7,0,0,0,0,0,48.2,46.9,0,0,53,53,54.4,56.3,0,54.8,0,0,0,0,0,0,0,53.5,
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,26.3,0,0,31.2,0,0,0,0,0,38.5,0,47.7,0,0,0,49.7,0,53.1,54.7,54.2,54.2,57.4,55.4,55.4,54.8,52.5,54.2,60.3,56.7,57.9,57.9,61.4,61.4,60.6,61,61.3,61.9,62,61.6,61.5,59.4,60.9
Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,23,0,0,0,0,0,0,0,0,0,0,48.9,0,49,64.6,67.8,70,72.8,73.7,72.9,0,0,73.8,0,73.3,0,0,78.9,0,0,0,0,0,77.4,0,0,0,0,0,
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,0,0,0,0,0,0,0,0,0,0,43.5,0,0,0,0,0,49.8,0,0,0,0,52.5,0,0,0,0,0,
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,75,0,89,64.8,0,0,0,0,0,0,0,0,0,0,0,
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.1,0,0,0,
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3,0,0,54.9,0,0,0,51.4,0,0,0,0,0,54.6,0,0,0,62,0,0,0,65.9,0,0,0,0,69.1,69,0,0,0,0,0,72.5,0,0,0,0,0,0,0,
Japan,42,0,44.6,0,55.5,0,53,0,52.1,0,52.6,0,59.3,0,60.5,0,60.4,0,62.2,0,0,0,0,57.3,0,62.8,64.5,56.3,0,57.9,0,64,0,58.6,0,56.6,60.4,54.1,0,55.9,0,0,0,52,54.3,0,0,0,0,0,0,0,0,54.7,39.8,0,
Jordan,0,0,0,0,0,0,0,0,0,0,0,26.1,0,0,0,25.2,0,0,0,0,0,0,26,0,26.5,0,0,0,0,40,0,0,0,0,0,0,52.6,0,0,0,0,55.8,0,0,0,0,57.1,0,59.3,0,0,61.2,0,0,0,0,
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.1,0,0,0,66.1,0,0,0,0,0,0,50.7,0,0,0,0,51,0,0,0,55.7,0,
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,17,0,0,0,0,26.9,0,0,0,32.7,0,0,0,0,39,0,0,0,0,39.3,0,0,0,0,0,45.5,0,0,0,0,58,66.3,61.6,
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9,0,36.1,0,0,0,21.5,0,0,0,20,22.3,0,0,0,0,0,0,0,
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,34.6,0,0,0,0,0,0,49.8,0,50.2,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kyrgyz Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.5,0,0,0,0,0,0,0,0,47.8,0,0,0,0,0,36.3,0,42,0,0,
Lao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,0,20,0,0,0,0,32.2,0,0,0,0,38.4,0,0,0,0,0,0,49.8,0,0,0,0,
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lebanon,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.1,0,0,0,62.7,0,58,0,58,0,0,0,0,54.5,0,0,0,0,0,0,0,
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,29.1,0,0,0,0,30.4,40.6,38,0,37.3,0,0,0,0,47,0,50.7,0,0,60.2,0,0,
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,11.4,0,0,0,0,0,20.2,0,0,31,
